ServiceName,Node,CPUs,Memory,Socket,NCPUs
cassandra,0,0,0,0,5
cassandra-schema,0,0,0,-1,5
compose-post-service,0,0,0,0,5
home-timeline-redis,1,0,0,0,5
home-timeline-service,1,0,0,0,5
jaeger-agent,2,0,0,0,5
jaeger-collector,2,0,0,0,5
jaeger-query,3,0,0,0,5
media-frontend,3,0,0,0,5
media-memcached,4,0,0,0,5
media-mongodb,4,0,0,0,5
media-service,5,0,0,0,5
nginx-web-server,5,0,0,0,5
post-storage-memcached,6,0,0,0,5
post-storage-mongodb,6,0,0,0,5
post-storage-service,7,0,0,0,5
social-graph-mongodb,7,0,0,0,5
social-graph-redis,8,0,0,0,5
social-graph-service,8,0,0,0,5
text-service,9,0,0,0,5
unique-id-service,9,0,0,0,5
url-shorten-memcached,10,0,0,0,5
url-shorten-mongodb,10,0,0,0,5
url-shorten-service,11,0,0,0,5
user-memcached,11,0,0,0,5
user-mention-service,12,0,0,0,5
user-mongodb,12,0,0,0,5
user-service,13,0,0,0,5
user-timeline-mongodb,13,0,0,0,5
user-timeline-redis,14,0,0,0,5
user-timeline-service,14,0,0,0,5
